OSHPD_ID,FAC_NAME,FAC_OPER_CURRYR,LIC_STATUS,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,EMSA_TRAUMA_PEDS_CTR_DESIG,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,ED_ANESTH_AVAIL24HRS,ED_ANESTH_AVAIL_ON_CALL,ED_LAB_SVCS_AVAIL24HRS,ED_LAB_SVCS_AVAIL_ON_CALL,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,ED_PHARM_AVAIL24HRS,ED_PHARM_AVAIL_ON_CALL,ED_PHYSN_AVAIL24HRS,ED_PHYSN_AVAIL_ON_CALL,ED_PSYCH_ER_AVAIL24HRS,ED_PSYCH_ER_AVAIL_ON_CALL,ED_RADIOL_SVCS_AVAIL24HRS,ED_RADIOL_SVCS_AVAIL_ON_CALL,EMS_VISITS_NON_URGENT_NOT_adm,EMS_VISITS_NON_URGENT_adm,EMS_VISITS_URGENT_NOT_adm,EMS_VISITS_URGENT_adm,EMS_VISITS_MODERATE_NOT_adm,EMS_VISITS_MODERATE_adm,EMS_VISITS_SEVERE_NOT_adm,EMS_VISITS_SEVERE_adm,EMS_VISITS_CRITICAL_NOT_adm,EMS_VISITS_CRITICAL_adm,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,year,Responder_status,EMS_Minor_TOTL_VIS,EMS_lowmoderate_TOTL_VIS,EMS_Moderate_TOTL_VIS,EMS_SEV_WO_Threat_totl_vis,EMS_SEV_W_THREAT_TOTL_VIS,lvl_not_specified,emsa_county,EMSA_TRAUMA_CTR_DESIG,emsa1,emsa2,emsa3,emsa4,emsa0,EMSA_TRAUMA_PEDS_CTR_count,dhs_ed_lic_levl,all_ed,ed_none,basic,comprehensive,standby
106010735,ALAMEDA HOSPITAL,Yes,Open,,NO,18,9,13,2e,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,553,2,2756,3,7033,66,3537,1014,798,671,14677,1756,16433,12,0,229,Yes,10,12,3,119,5,2,5,3,5,113,5,0,282,2017,Responder,555,2759,7099,4551,1469,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010735,ALAMEDA HOSPITAL,Yes,Open,,NO,18,9,13,2e,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,457,3,2921,34,7225,961,3527,631,945,138,15075,1767,16842,12,0,238,Yes,54,4,0,0,0,0,10,4,0,1,0,3,76,2016,Responder,460,2955,8186,4158,1083,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010735,ALAMEDA HOSPITAL,Yes,Open,,NO,18,9,13,2e,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,420,0,2422,0,6943,8,3368,227,841,191,13994,426,14420,12,879,152,Yes,20,0,1,0,6,10,2,5,13,1,4,32,94,2015,Responder,420,2422,6951,3595,1032,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010735,ALAMEDA HOSPITAL,Yes,Open,,NO,18,9,13,2e,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,382,0,1423,1,4534,22,2450,712,946,1027,9735,1762,11497,12,0,152,Yes,0,0,0,0,0,14,58,33,38,24,1,0,168,2014,Responder,382,1424,4556,3162,1973,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010735,ALAMEDA HOSPITAL,Yes,Open,,NO,18,9,13,2e,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,561,1,2089,1,6657,31,3598,1046,1389,1509,14294,2588,16882,12,0,223,Yes,2,0,36,7,1,0,2,5,13,1,4,8,79,2013,Responder,562,2090,6688,4644,2898,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Yes,Open,,NO,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,,YES,YES,,,YES,YES,,YES,,,YES,YES,,558,0,3900,0,11821,0,15907,0,11859,0,44045,6369,50414,22,4458,727,Yes,0,0,0,0,0,4,0,0,4,2,2,1,13,2017,Responder,558,3900,11821,15907,11859,6369,,N/A,,,,,1,,Basic,Yes,,1,,
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Yes,Open,,NO,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,,YES,,YES,YES,,YES,,YES,,492,1,4246,2,12848,14,14670,1106,5799,6722,38055,7845,45900,25,0,1314,Yes,3,18,2,1,4,4,2,2,2,8,8,6,60,2016,Responder,493,4248,12862,15776,12521,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Yes,Open,,NO,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,,YES,YES,,YES,,,YES,YES,,564,0,4252,0,12923,0,15546,0,13092,0,46377,7130,53507,22,0,1610,Yes,1,0,0,2,5,4,4,7,7,27,0,0,57,2015,Responder,564,4252,12923,15546,13092,7130,,N/A,,,,,1,,Basic,Yes,,1,,
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Yes,Open,,NO,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,59,8,1988,284,13695,1955,16668,2380,7868,1123,40278,5750,46028,22,0,1582,Yes,48,18,23,25,18,13,13,0,7,12,0,5,182,2014,Responder,67,2272,15650,19048,8991,0,,N/A,,,,,1,,Basic,Yes,,1,,
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Yes,Open,,NO,15,9,13,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,706,7,5861,3,12375,18,13006,751,6981,4404,38929,5183,44112,22,0,897,Yes,8,2,2,6,0,0,0,5,5,7,0,8,43,2013,Responder,713,5864,12393,13757,11385,0,,N/A,,,,,1,,Basic,Yes,,1,,
